GW,FL,ISA,N1,LBS/H/ENG,KG/H/ENG,NM/100KG,MACH,IAS,TAS
68,370,0,85.6,2773.41196,1258,180,0.789,256,453
68,250,20,81.1,2938.75846,1333,159.2,0.677,282,424
68,250,15,80.3,2907.89378,1319,159.6,0.678,283,421
68,250,10,79.5,2877.0291,1305,159.8,0.679,283,417
68,250,0,77.9,2813.09512,1276,160.3,0.68,284,409
70,370,10,88.2,2934.34922,1331,173.8,0.789,256,463
70,370,0,86.2,2857.18752,1296,174.7,0.789,256,453
70,370,15,88.1,2780.02582,1261,174.5,0.742,239,440
70,250,20,81.8,3022.53402,1371,156.6,0.685,286,429
70,250,15,81,2989.46472,1356,156.9,0.686,286,426
70,250,10,80.2,2956.39542,1341,157.2,0.686,286,422
70,250,0,78.5,2892.46144,1312,157.7,0.688,287,414
72,370,10,88.3,2918.91688,1324,170.6,0.77,249,452
72,370,0,86.4,2846.16442,1291,171.5,0.772,250,443
72,250,20,82.4,3106.30958,1409,154,0.692,289,434
72,250,15,81.6,3073.24028,1394,154.3,0.693,289,430
72,250,10,80.8,3040.17098,1379,154.6,0.694,290,426
72,250,0,79.2,2974.03238,1349,155.1,0.695,290,419
74,250,20,83.1,3192.28976,1448,151.4,0.7,292,439
74,250,15,82.3,3157.01584,1432,151.8,0.7,293,435
74,250,10,81.5,3119.5373,1415,152.1,0.701,293,431
74,250,0,79.8,3055.60332,1386,152.6,0.703,294,423
76,250,20,83.8,3284.8838,1490,149,0.708,296,444
76,250,15,83,3247.40526,1473,149.3,0.709,296,440
76,250,10,82.1,3209.92672,1456,149.7,0.709,297,436
76,250,0,80.5,3143.78812,1426,150.2,0.712,298,429
78,250,20,84.5,3379.68246,1533,146.6,0.717,300,449
78,250,15,83.6,3337.79468,1514,147,0.717,300,445
78,250,10,82.8,3298.11152,1496,147.3,0.718,300,441
78,250,0,81.1,3229.7683,1465,147.9,0.72,301,433
50,390,20,85.5,2175.95994,987,233.6,0.769,237,461
50,390,15,84.6,2149.5045,975,234.1,0.77,238,457
50,390,10,83.7,2123.04906,963,234.7,0.771,238,452
50,390,0,81.8,2070.13818,939,235.7,0.771,238,442
50,270,20,75,2175.95994,987,193.4,0.614,244,382
50,270,15,74.3,2160.5276,980,193.5,0.616,245,379
50,270,10,73.6,2145.09526,973,193.5,0.618,246,377
50,270,0,72.2,2109.82134,957,193.5,0.62,247,370
52,390,20,86.1,2255.32626,1023,227.3,0.776,240,465
52,390,15,85.2,2228.87082,1011,227.9,0.777,240,461
52,390,10,84.3,2200.21076,998,228.4,0.777,240,456
52,390,0,82.4,2142.89064,972,229.5,0.778,240,446
52,270,20,76.5,2295.00942,1041,189.4,0.634,252,394
52,270,15,75.8,2277.37246,1033,189.5,0.636,253,391
52,270,10,75.1,2257.53088,1024,189.6,0.637,254,388
52,270,0,73.6,2220.05234,1007,189.7,0.64,255,382
54,390,20,86.7,2339.10182,1061,220.8,0.781,242,468
54,390,15,85.8,2310.44176,1048,221.3,0.782,242,464
54,390,10,84.9,2279.57708,1034,221.9,0.782,242,459
54,390,0,83.1,2220.05234,1007,222.9,0.783,242,449
54,270,20,78,2407.44504,1092,185.6,0.652,260,405
54,270,15,77.2,2385.39884,1082,185.8,0.653,260,402
54,270,10,76.5,2363.35264,1072,185.9,0.654,261,399
54,270,0,75,2325.8741,1055,186,0.657,262,392
56,390,20,87.3,2409.64966,1093,214.3,0.781,242,468
56,390,15,86.4,2383.19422,1081,214.7,0.783,242,464
56,390,10,85.5,2352.32954,1067,215.3,0.783,242,459
56,390,0,83.6,2288.39556,1038,216.3,0.783,242,449
56,270,20,78.8,2486.81136,1128,182.3,0.661,264,411
56,270,15,78,2460.35592,1116,182.5,0.662,264,408
56,270,10,77.2,2438.30972,1106,182.7,0.663,265,404
56,270,0,75.7,2394.21732,1086,182.9,0.666,266,397
58,390,15,87.1,2471.37902,1121,207.7,0.785,243,466
58,390,10,86.2,2438.30972,1106,208.3,0.785,243,461
58,390,20,87.3,2385.39884,1082,209.4,0.756,233,453
58,390,0,84.3,2372.17112,1076,209.3,0.786,243,451
58,270,20,79.3,2544.13148,1154,179.3,0.665,266,414
58,270,15,78.5,2515.47142,1141,179.6,0.666,266,410
58,270,10,77.8,2493.42522,1131,179.8,0.667,266,407
58,270,0,76.2,2447.1282,1110,180,0.669,267,400
60,390,15,87.7,2541.92686,1153,201.6,0.783,242,465
60,390,10,86.9,2528.69914,1147,201.4,0.788,244,462
60,390,0,85,2460.35592,1116,202.5,0.788,244,452
60,270,20,79.8,2594.83774,1177,176.5,0.668,267,415
60,270,15,79,2568.3823,1165,176.7,0.669,267,412
60,270,10,78.2,2541.92686,1153,177,0.67,267,408
60,270,0,76.6,2493.42522,1131,177.3,0.672,268,401
62,390,10,87.7,2619.08856,1188,194.7,0.789,244,463
62,390,0,85.8,2548.54072,1156,195.8,0.789,244,453
62,270,20,80.5,2674.20406,1213,173.2,0.676,270,420
62,270,15,79.7,2645.544,1200,173.5,0.677,270,417
62,270,10,78.9,2621.29318,1189,173.8,0.678,271,413
62,270,0,77.3,2566.17768,1164,174.2,0.679,272,405
64,390,10,88,2645.544,1200,190.2,0.778,240,456
64,390,0,86.1,2579.4054,1170,191.1,0.78,241,447
64,270,20,81.2,2755.775,1250,170.1,0.684,273,425
64,270,15,80.4,2727.11494,1237,170.4,0.685,274,421
64,270,10,79.6,2700.6595,1225,170.6,0.686,274,418
64,270,0,78,2643.33938,1199,171.1,0.687,275,410
66,270,20,81.9,2841.75518,1289,167,0.692,277,430
66,270,15,81.1,2810.8905,1275,167.3,0.693,277,427
66,270,10,80.3,2782.23044,1262,167.6,0.694,278,423
66,270,0,78.7,2722.7057,1235,168.1,0.696,279,415
68,270,20,82.6,2927.73536,1328,164,0.7,281,436
68,270,15,81.8,2894.66606,1313,164.3,0.701,281,432
68,270,10,81,2861.59676,1298,164.7,0.701,281,427
68,270,0,79.4,2806.48126,1273,165.2,0.704,282,420
70,270,20,83.4,3020.3294,1370,161.1,0.71,285,441
70,270,15,82.6,2987.2601,1355,161.5,0.71,285,437
70,270,10,81.7,2951.98618,1339,161.8,0.711,285,433
70,270,0,80.1,2892.46144,1312,162.4,0.713,286,426
72,270,20,84.1,3112.92344,1412,158.3,0.719,289,447
72,270,15,83.3,3077.64952,1396,158.7,0.72,289,443
72,270,10,82.4,3044.58022,1381,159,0.72,289,439
72,270,0,80.8,2976.237,1350,159.6,0.722,290,431
74,270,20,84.6,3201.10824,1452,155.6,0.727,292,452
74,270,15,83.8,3163.6297,1435,156,0.727,292,448
74,270,10,82.9,3126.15116,1418,156.4,0.727,292,443
74,270,0,81.2,3055.60332,1386,157,0.729,293,435
76,270,20,85.1,3293.70228,1494,152.9,0.735,295,457
76,270,15,84.3,3256.22374,1477,153.3,0.735,296,453
76,270,10,83.5,3216.54058,1459,153.7,0.736,296,448
76,270,0,81.7,3139.37888,1424,154.3,0.737,296,440
78,270,20,85.7,3388.50094,1537,150.3,0.743,299,462
78,270,15,84.8,3346.61316,1518,150.7,0.743,299,458
78,270,10,84,3304.72538,1499,151.1,0.743,299,453
78,270,0,82.2,3225.35906,1463,151.8,0.744,299,444
